station,lat,long,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,annual,,,
21130080,3.120833333,-75.49225,145.56,174.8875,217.3975,240.175,168.575,72.59,41.0425,42.55,104.235,271.66,286.6325,208.4375,164.4785417,,,
21130110,3.268583333,-75.49066667,157.7141026,155.7923077,223.324359,229.5487179,181.7230769,59.58076923,48.19487179,41.24358974,109.5589744,264.8179487,264.1884615,187.7435897,160.2858974,,,
21130180,3.453611111,-75.15088889,81.37058824,83.93235294,140.4558824,145.1088235,110.4955882,34.07941176,17.10882353,21.55,46.66176471,183.1147059,229.2117647,160.3735294,104.4552696,,,
21135020,3.855833333,-75.01572222,79.72954545,108.8988636,133.3363636,185.3931818,159.5386364,53.65909091,40.10340909,36.79204545,108.2613636,196.3034091,167.0886364,117.4829545,115.5489583,,,
21135030,3.573833333,-75.109,92.00555556,105.8255556,144.1344444,179.5077778,128.06,42.2,30.84555556,33.15,63.78222222,196.6411111,258.96,146.3944444,118.4588889,,,
21135040,3.77375,-75.11980556,82.9625,119.98,135.5625,195.78875,165.76625,59.25375,31.05625,41.56125,97.78125,207.56125,184.21625,121.4525,120.2452083,,,
21140010,3.291583333,-74.90397222,41.54545455,43.64318182,84.81818182,97.83636364,87.73863636,44.3,37.29772727,28.10227273,38.55681818,97.75,117.1704545,62.06818182,65.06893939,,,
21140030,3.279222222,-74.93422222,36.02195122,56.93292683,86.28292683,92.6195122,80.16585366,43.09512195,37.49756098,31.73170732,46.95243902,104.0560976,118.2585366,83.81707317,68.11930894,,,
21140080,3.480527778,-74.74377778,47.5804878,61.44390244,107.0829268,132.4658537,134.6219512,88.29268293,57.42439024,43.68536585,52.23536585,158.0243902,165.8707317,75.32926829,93.67144309,,,
21140100,3.423,-75.10463889,78.26097561,87.06463415,132.1743902,148.1878049,88.5902439,32.36341463,19.10243902,23.13902439,50.38414634,179.702439,207.3682927,151.4097561,99.81229675,,,
21140110,3.345361111,-75.09744444,47.37837838,69.58108108,105.3972973,114.6216216,72.82702703,26.97297297,16.24324324,13.2972973,38.77027027,141.7567568,165.3918919,103.7189189,76.32972973,,,
21140120,3.425861111,-74.92025,113.6,123,175.5,159.35,156.0875,76.4875,54.7875,51.525,59.075,221.8125,296.0875,185.1125,139.36875,,,
21140130,3.645472222,-74.66688889,74.425,76.6984375,98.5578125,137.146875,115.08125,62.7109375,54.7265625,37.996875,61.0890625,121.39375,165.484375,90.0765625,91.28229167,,,
21145040,3.373361111,-75.11011111,57.95227273,67.80568182,107.8829545,123.6818182,79.18522727,25.69318182,25.32159091,16.93409091,42.49772727,148.5761364,199.1431818,120.5454545,84.60160985,,,
21145070,3.311027778,-74.70288889,52.77790698,73.42790698,131.0162791,196.3069767,262.5383721,307.4081395,323.2627907,240.2813953,172.0860465,151.2232558,182.5930233,114.2069767,183.9274225,,,
21150030,3.566055556,-75.0625,88.37631579,93.34736842,148.1184211,152.3342105,109.8157895,32.15789474,25.92105263,22.67105263,61.71052632,192.5578947,234.7236842,184.7078947,112.2035088,,,
21155040,3.533055556,-74.90577778,101.421875,136.2765625,167.8390625,148.89375,115.2375,65.059375,36.55,30.721875,70.725,245.91875,327.859375,220.528125,138.9192708,,,
21160030,4.066388889,-74.68761111,112.7965909,154.5488636,189.5647727,226.5420455,217.3806818,90.72840909,47.6,48.33295455,125.8193182,277.2965909,265.5943182,156.5272727,159.3943182,,,
21160040,3.74625,-74.81094444,142.5818182,170.4568182,260.1590909,287.4545455,210.4977273,88.05909091,44.87727273,48.59090909,95.95227273,309.3727273,344.1704545,205.7727273,183.9954545,,,
21160050,3.671722222,-74.84297222,152.2590909,173.9045455,241.0159091,257.9909091,217.6181818,100.4636364,59.61818182,52.81818182,115.125,313.0795455,332.25,248.2727273,188.7013258,,,
21160070,3.932916667,-74.60927778,102.2325581,132.0116279,177.6511628,204.0813953,177.9930233,74.78139535,55.97674419,62.95348837,104.4767442,203.6325581,216.8325581,133.244186,137.1556202,,,
21160080,3.753805556,-74.90088889,108.4953488,136.3686047,210.0697674,234.1139535,212.4372093,67.71627907,56.03837209,43.28139535,107.0813953,265.0418605,281.0360465,198.3662791,160.003876,,,
21160160,3.620555556,-74.79972222,175.1568966,166.4275862,267.15,240.4327586,186.8,68.42413793,54.36034483,38.04482759,89.92068966,296.2586207,412.5896552,229.5637931,185.4274425,,,
